timestamp,total_gas_consumption,peak_power,actual_consumption,total_consumption_day,total_consumption_night,actual_injection,total_injection_day,total_injection_night
240815223500,2702.727,11.744,.411,9303.297,8071.609,.000,2280.634,889.889
240815223501,2702.727,11.744,.407,9303.297,8071.609,.000,2280.634,889.889
240815223502,2702.727,11.744,.409,9303.297,8071.609,.000,2280.634,889.889
240815223503,2702.727,11.744,.407,9303.297,8071.609,.000,2280.634,889.889
240815223531,2702.727,11.744,.405,9303.297,8071.612,.000,2280.634,889.889
240815223532,2702.727,11.744,.407,9303.297,8071.612,.000,2280.634,889.889
240815223533,2702.727,11.744,.406,9303.297,8071.613,.000,2280.634,889.889
240815223601,2702.727,11.744,.406,9303.297,8071.616,.000,2280.634,889.889
240815223602,2702.727,11.744,.407,9303.297,8071.616,.000,2280.634,889.889
240815223603,2702.727,11.744,.407,9303.297,8071.616,.000,2280.634,889.889
240815223631,2702.727,11.744,.406,9303.297,8071.619,.000,2280.634,889.889
240815223632,2702.727,11.744,.405,9303.297,8071.619,.000,2280.634,889.889
240815223633,2702.727,11.744,.406,9303.297,8071.619,.000,2280.634,889.889
240815223701,2702.727,11.744,.407,9303.297,8071.623,.000,2280.634,889.889
240815223702,2702.727,11.744,.405,9303.297,8071.623,.000,2280.634,889.889
240815223703,2702.727,11.744,.406,9303.297,8071.623,.000,2280.634,889.889
240815223731,2702.727,11.744,.407,9303.297,8071.626,.000,2280.634,889.889
240815223732,2702.727,11.744,.405,9303.297,8071.626,.000,2280.634,889.889
240815223733,2702.727,11.744,.406,9303.297,8071.626,.000,2280.634,889.889
240815223801,2702.727,11.744,.406,9303.297,8071.629,.000,2280.634,889.889
240815223802,2702.727,11.744,.406,9303.297,8071.629,.000,2280.634,889.889
240815223803,2702.727,11.744,.407,9303.297,8071.630,.000,2280.634,889.889
240815223831,2702.727,11.744,.406,9303.297,8071.633,.000,2280.634,889.889
240815223832,2702.727,11.744,.405,9303.297,8071.633,.000,2280.634,889.889
240815223833,2702.727,11.744,.409,9303.297,8071.633,.000,2280.634,889.889
240815223901,2702.727,11.744,.405,9303.297,8071.636,.000,2280.634,889.889
240815223902,2702.727,11.744,.405,9303.297,8071.636,.000,2280.634,889.889
240815223903,2702.727,11.744,.408,9303.297,8071.636,.000,2280.634,889.889
240815223931,2702.727,11.744,.410,9303.297,8071.640,.000,2280.634,889.889
240815223932,2702.727,11.744,.408,9303.297,8071.640,.000,2280.634,889.889
240815223933,2702.727,11.744,.410,9303.297,8071.640,.000,2280.634,889.889
240815224001,2702.727,11.744,.404,9303.297,8071.643,.000,2280.634,889.889
240815224002,2702.727,11.744,.406,9303.297,8071.643,.000,2280.634,889.889
